iso_code,year,gdp_constant,gdp_per_capita_constant,fk_country
ATG,2015,1437755555.55556,16080.6580495873,5
ATG,2016,1496700162.35408,16635.7318893628,5
ATG,2017,1533568876.84089,16951.5063540798,5
ATG,2018,1640200774.69966,18038.8532949834,5
ATG,2019,1691054300.06629,18508.9783729509,5
ATG,2020,1371776497.48049,14935.6150238496,5
ATG,2021,1484148566.07947,16071.0843222933,5
ATG,2022,1625386015.56633,17507.3892241095,5
AUS,1965,255720398204.709,22455.2509839049,9
AUS,1966,261804000641.526,22470.5176072033,9
AUS,1967,278310424154.664,23587.6281171848,9
AUS,1968,292486739692.211,24355.6282531611,9
AUS,1969,313093232453.285,25531.5365288498,9
AUS,1970,335559847086.201,26829.7630995603,9
AUS,1971,348984184857.752,26975.665521972,9
AUS,1972,362631046662.097,27520.0005055853,9
AUS,1973,372130520889.694,27812.4455074509,9
AUS,1974,387414341096.21,28231.0239084901,9
AUS,1975,392589303732.447,28258.0654813537,9
AUS,1976,402751234563.422,28700.2946314702,9
AUS,1977,417230643180.121,29399.0024788699,9
AUS,1978,420958560166.314,29318.7463550853,9
AUS,1979,438009144460.798,30178.3894488631,9
AUS,1980,451305594857.179,30717.7780327511,9
AUS,1981,466379040331.542,31251.8203349363,9
AUS,1982,481887942318.357,31736.0447520616,9
AUS,1983,471169061968.518,30608.3684024318,9
AUS,1984,492813360779.094,31632.3892749783,9
AUS,1985,518826292325.462,32861.4162378766,9
AUS,1986,539404649863.998,33674.1705521479,9
AUS,1987,553211370887.306,34014.7354121968,9
AUS,1988,585064279420.793,35389.4553320904,9
AUS,1989,607725922300.842,36143.1477787181,9
AUS,1990,629466776079.67,36886.1444273767,9
AUS,1991,627060575115.855,36279.7540525751,9
AUS,1992,629746209994.416,36029.4845675544,9
AUS,1993,655230327244.458,37155.5123959647,9
AUS,1994,681311039099.666,38264.146671105,9
AUS,1995,707786283507.272,39310.7982327944,9
AUS,1996,735134359250.411,40337.1060519133,9
AUS,1997,763901984857.931,41464.4982180697,9
AUS,1998,799524373774.542,42967.6616681962,9
AUS,1999,839721933537.843,44636.9418129494,9
AUS,2000,872651653770.258,45859.5162097045,9
AUS,2001,890323770708.066,46191.3142366289,9
AUS,2002,925754967998.798,47486.2783216389,9
AUS,2003,954367849882.364,48394.1269478095,9
AUS,2004,994683066030.821,49902.0187022536,9
AUS,2005,1026057036344.3,50853.1976727529,9
AUS,2006,1054328458936.16,51553.9685966991,9
AUS,2007,1094111663603.91,52531.7611201084,9
AUS,2008,1133349428616.57,53336.1012157008,9
AUS,2009,1154798699180.01,53237.0077642312,9
AUS,2010,1180435002406.5,53578.8125049759,9
AUS,2011,1208849019421.68,54111.357240336,9
AUS,2012,1256196122893.84,55257.5739287362,9
AUS,2013,1288884775424.06,55728.0174035719,9
AUS,2014,1322334997273.41,56327.8533063277,9
AUS,2015,1351296372254.31,56739.0265346593,9
AUS,2016,1388583854795.63,57401.0662268939,9
AUS,2017,1420237898460.73,57750.6482221688,9
AUS,2018,1461119016244.31,58530.7821697117,9
AUS,2019,1492847874023.89,58924.733646242,9
AUS,2020,1491062566266.52,58132.798523626,9
AUS,2021,1522541404227.63,59276.503107197,9
AUS,2022,1587133480804.53,61009.8077147403,9
AUT,1965,103857359026.078,14283.9973249596,10
AUT,1966,109717885860.975,14984.5529746625,10
AUT,1967,113018252310.359,15320.3582690899,10
AUT,1968,118072782054.949,15922.6386016982,10
AUT,1969,125482873016.001,16863.5862812465,10
AUT,1970,134420861837.432,18001.7830030928,10
AUT,1971,141296446649.862,18838.3155442359,10
AUT,1972,150067933804.405,19891.8260269583,10
AUT,1973,157406910004.143,20749.3440323726,10
AUT,1974,163612107156.825,21530.6341614326,10
AUT,1975,163016992180.116,21509.3123873093,10
AUT,1976,170480635467.27,22533.8803939277,10
AUT,1977,179141019329.484,23669.5086470357,10
AUT,1978,178763651805.125,23638.778362566,10
AUT,1979,188339484767.778,24947.5270987894,10
AUT,1980,191600555070.287,25379.4629438114,10
AUT,1981,191324086648.201,25278.2953301423,10
AUT,1982,195172100364.98,25768.2192783576,10
AUT,1983,200974738503.121,26577.2454979127,10
AUT,1984,201077788950.889,26592.5469892204,10
AUT,1985,206102076058.434,27244.2147682295,10
AUT,1986,210845294703.449,27853.5049571295,10
AUT,1987,213706819428.428,28213.6633511624,10
AUT,1988,220750340111.983,29102.3223039964,10
AUT,1989,229331070934.266,30097.6513408526,10
AUT,1990,239296977562.902,31167.1858089051,10
AUT,1991,247532687599.64,31919.5572961167,10
AUT,1992,252714846186.879,32231.1217246909,10
AUT,1993,254046171785.085,32134.8299098991,10
AUT,1994,260148662438.995,32780.342031078,10
AUT,1995,267089385643.72,33603.4277668346,10
AUT,1996,273007465269.592,34301.6562559914,10
AUT,1997,278865754355.301,34998.0320577293,10
AUT,1998,288606201307.485,36180.7490843101,10
AUT,1999,299463348574.799,37468.8699525693,10
AUT,2000,309014799991.68,38571.0858515901,10
AUT,2001,313084486617.415,38929.753817402,10
AUT,2002,317731815610.858,39313.7226059057,10
AUT,2003,321358930858.678,39569.2886405101,10
AUT,2004,329602607197.97,40333.330706218,10
AUT,2005,337250591613.85,40989.013215254,10
AUT,2006,348276446973.261,42120.1557756904,10
AUT,2007,361424665131.865,43568.8302726368,10
AUT,2008,366677270021.069,44063.8642404045,10
AUT,2009,353527252232.556,42372.4758387703,10
AUT,2010,359922498957.786,43035.407467795,10
AUT,2011,370459114608.076,44146.1957578601,10
AUT,2012,372786509841.892,44221.4600041556,10
AUT,2013,371851835102.085,43851.3675464788,10
AUT,2014,374662287839.195,43838.8346845363,10
AUT,2015,379546097300.633,43915.228020857,10
AUT,2016,387581921933.047,44362.6702918145,10
AUT,2017,396388752620.721,45056.6386908289,10
AUT,2018,406235924727.366,45951.5818951582,10
AUT,2019,413365269561.549,46550.5623430785,10
AUT,2020,387247796564.086,43428.6983141255,10
AUT,2021,405817602863.188,45313.3990043754,10
AUT,2022,427236226636.132,47250.969589759,10
AZE,1990,20240091907.5767,2820.84010307402,11
AZE,1991,20098411228.6619,2764.07399346223,11
AZE,1992,15556170225.3742,2107.29678414183,11
AZE,1993,11962695102.6124,1596.13266566318,11
AZE,1994,9606044019.06944,1264.5271891937,11
AZE,1995,8472530910.53572,1102.49789007407,11
AZE,1996,8582673761.93048,1105.58724229428,11
AZE,1997,9080468852.82118,1158.4816576176,11
AZE,1998,9988515702.82903,1262.29188712613,11
AZE,1999,10727665994.6477,1343.85593869878,11
AZE,2000,11918436828.1641,1480.80869072436,11
AZE,2001,13098362058.1026,1614.84885813475,11
AZE,2002,14334705485.3859,1754.13524132991,11
AZE,2003,15798035139.5108,1918.61103696953,11
AZE,2004,17259953999.1872,2077.88527047339,11
AZE,2005,22086102614.13,2631.85145279408,11
AZE,2006,29705808016.0049,3501.16482500603,11
AZE,2007,37132259975.9133,4327.11360468848,11
AZE,2008,41127311680.0779,4693.07707968116,11
AZE,2009,44950656172.1802,5023.9672905028,11
AZE,2010,47220189860.7658,5215.20415429496,11
AZE,2011,47267410115.7076,5152.83850244744,11
AZE,2012,48290862738.2682,5194.92091665083,11
AZE,2013,51096465688.5745,5426.09594155961,11
AZE,2014,52501877459.7444,5506.18169600319,11
AZE,2015,53076235354.746,5500.50364628486,11
AZE,2016,51430872122.2426,5270.738165712,11
AZE,2017,51533733835.093,5229.7098898586,11
AZE,2018,52306739842.6194,5262.36870473368,11
AZE,2019,53614408373.9591,5348.45318851823,11
AZE,2020,51308988759.0274,5083.56025445721,11
AZE,2021,54190732985.9123,5345.43986445831,11
AZE,2022,56745718946.4579,5595.25578671563,11
BDI,1965,864309175.839385,275.137917931711,30
BDI,1966,904179696.716675,280.9791596902,30
BDI,1967,1029151061.69467,311.798763802316,30
BDI,1968,1026085388.70651,303.540804264871,30
BDI,1969,1011109250.30161,292.685745718482,30
BDI,1970,1226735079.77048,347.474495973999,30
BDI,1971,1260431391.16348,348.446416961289,30
BDI,1972,1179713806.9813,326.146546923774,30
BDI,1973,1260984889.48285,349.110750686492,30
BDI,1974,1251819552.42584,338.001655805809,30
BDI,1975,1260556254.40312,332.021353354811,30
BDI,1976,1360677964.1039,350.45300889241,30
BDI,1977,1516740284.27566,380.747850621793,30
BDI,1978,1502474189.35523,366.426911477842,30
BDI,1979,1527489707.74691,363.382611221262,30
BDI,1980,1542627981.94595,351.900419860718,30
BDI,1981,1730262074.40731,378.943663862466,30
BDI,1982,1712032036.30219,365.710192122894,30
BDI,1983,1775639624.64819,369.268854137523,30
BDI,1984,1778401525.63402,360.98937587784,30
BDI,1985,1987953781.69961,394.902104849267,30
BDI,1986,2052565867.06033,400.156015299278,30
BDI,1987,2165520539.64117,412.654046294404,30
BDI,1988,2274468405.67354,423.919810604935,30
BDI,1989,2305162407.677,421.287694857326,30
BDI,1990,2385838991.89422,427.030031561228,30
BDI,1991,2505055464.22991,439.186232093461,30
BDI,1992,2530356483.61119,431.918861835852,30
BDI,1993,2372462238.99867,417.919297574139,30
BDI,1994,2281596935.33521,399.309631526324,30
BDI,1995,2100894457.97115,346.321302413385,30
BDI,1996,1932822901.37672,318.395682563648,30
BDI,1997,1902091017.30555,313.357142719203,30
BDI,1998,1992440340.53429,322.030961886279,30
BDI,1999,1972316693.16467,311.230622126912,30
BDI,2000,1955416620.30264,302.219163799824,30
BDI,2001,1995616214.18073,300.799882759047,30
BDI,2002,2084351676.53824,305.4383585397,30
BDI,2003,2058844882.28283,292.318595090044,30
BDI,2004,2158362397.86831,295.235119511615,30
BDI,2005,2177787659.46859,287.030688980174,30
BDI,2006,2295688883.37796,291.866399549575,30
BDI,2007,2374934882.81749,290.979116170807,30
BDI,2008,2490397480.72402,292.793764973044,30
BDI,2009,2585349995.27363,288.941917826614,30
BDI,2010,2717827465.44662,289.856950614392,30
BDI,2011,2827426575.50415,290.948032142504,30
BDI,2012,2953153932.04472,293.232620547249,30
BDI,2013,3098572839.6491,296.816900573427,30
BDI,2014,3229972475.40545,299.077479357732,30
BDI,2015,3104003546.26497,280.966831311923,30
BDI,2016,3085379496.76838,274.513363399011,30
BDI,2017,3100806433.20295,269.47688960656,30
BDI,2018,3150727414.31633,265.672394335817,30
BDI,2019,3207836406.88248,261.750180238427,30
BDI,2020,3218331064.79216,255.078218433565,30
